_path,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,trans_id,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,rejected
conn,2023-11-25T19:05:10.448942Z,C0k2us20hxRxjkJwdl,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T19:04:30.957289Z,CjixPu3mxw2CfOBKHd,fe80::f4a5:6fee:9e5:18f2,1900.0,ff02::c,1900.0,udp,,2.076125s,6573.0,0.0,S0,0.0,D,18.0,7437.0,0.0,0.0,1:qfllzrGKueBMipOw37BKBrg7Iug=,,,,,,,,,,,,,,
conn,2023-11-25T19:04:30.955657Z,CALD33ECgIHsqatJ,::1,1900.0,ff05::c,1900.0,udp,,2.077536s,6195.0,0.0,S0,0.0,D,18.0,7059.0,0.0,0.0,1:W0iDTDFAXzrLIbP9EesaHI5SzLM=,,,,,,,,,,,,,,
conn,2023-11-25T19:04:30.954588Z,CUrGoe2TUpYP5wIPXh,192.168.169.130,1900.0,239.255.255.250,1900.0,udp,,2.078357s,6483.0,0.0,S0,0.0,D,18.0,6987.0,0.0,0.0,1:zaLswIA/zoWRB2+w6YaqAHZFiwo=,,,,,,,,,,,,,,
conn,2023-11-25T19:04:09.451053Z,Cjd7SE36PEfkFRT4Wb,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T19:03:49.270637Z,CCxjTv3aU0qJLvw48f,192.168.169.1,58968.0,239.255.255.250,1900.0,udp,,3.005808s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:ay8YNxDnCBnysOS+SS1JtZpjhF8=,,,,,,,,,,,,,,
http,2023-11-25T19:03:39.279634Z,CFTWPlendYiVEgTif,192.168.169.130,37008.0,185.125.190.48,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T19:03:39.059129Z,CFTWPlendYiVEgTif,192.168.169.130,37008.0,185.125.190.48,80.0,tcp,http,378.709ms,87.0,189.0,SF,0.0,ShADadfF,6.0,347.0,5.0,393.0,1:jwVLO32SAh4zAATR35YZmHdBzNw=,,,,,,,,,,,,,,
conn,2023-11-25T19:03:39.042563Z,CJiKht1YdMOu719z5i,192.168.169.130,59241.0,192.168.169.2,53.0,udp,dns,11.425ms,47.0,191.0,SF,0.0,Dd,1.0,75.0,1.0,219.0,1:z9MMzVtxNIHKfZuGMIqi+IbLVDo=,,,,,,,,,,,,,,
dns,2023-11-25T19:03:39.042563Z,CJiKht1YdMOu719z5i,192.168.169.130,59241.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,54854.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False
conn,2023-11-25T19:03:08.45198Z,CihrIv3EML1gnmfK5d,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T19:02:07.449311Z,CGUQtA2eS6BBAW80S3,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T19:01:49.260362Z,CpCbIc3MXwNLAoDLZe,192.168.169.1,57314.0,239.255.255.250,1900.0,udp,,3.004032s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:PpmqHi/dmHnvS5rmGUn3pdjP4jo=,,,,,,,,,,,,,,
conn,2023-11-25T19:01:45.273607Z,CNLqWq3ZwlBTCM3nyl,192.168.169.130,50644.0,192.168.169.2,53.0,udp,dns,9.516ms,47.0,215.0,SF,0.0,Dd,1.0,75.0,1.0,243.0,1:4rUwcFu5ZoSkVl3t0moEXbbbPHA=,,,,,,,,,,,,,,
dns,2023-11-25T19:01:45.273607Z,CNLqWq3ZwlBTCM3nyl,192.168.169.130,50644.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,7242.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False
ssl,2023-11-25T19:01:10.864111Z,CXxZ8Sgqt80ZEy2uf,192.168.169.135,40534.0,34.107.243.93,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T19:01:10.835393Z,CXxZ8Sgqt80ZEy2uf,192.168.169.135,40534.0,34.107.243.93,443.0,tcp,ssl,5m717.061ms,1461.0,1177.0,S1,0.0,ShADad,10.0,1881.0,10.0,1581.0,1:3EDxS2q6btc3KYZHQPFC2Q3IZWU=,,,,,,,,,,,,,,
conn,2023-11-25T19:01:10.823471Z,CBLUGU34sQsuoasMPk,192.168.169.135,38656.0,192.168.169.2,53.0,udp,dns,3.554ms,43.0,97.0,SF,0.0,Dd,1.0,71.0,1.0,125.0,1:NYqmqlW0BbNHFxFuzrv4EdUSaZc=,,,,,,,,,,,,,,
dns,2023-11-25T19:01:10.823471Z,CBLUGU34sQsuoasMPk,192.168.169.135,38656.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,47148.0,push.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False
dns,2023-11-25T19:01:10.804197Z,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,23004.0,push.services.mozilla.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False
conn,2023-11-25T19:01:10.803963Z,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,dns,10.81ms,86.0,260.0,SF,0.0,Dd,2.0,142.0,2.0,316.0,1:r03iFmJ6hLStMEi/4jJkZSIBGTs=,,,,,,,,,,,,,,
dns,2023-11-25T19:01:10.803963Z,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,19395.0,push.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False
conn,2023-11-25T19:01:06.452139Z,CjliixKpWZxMSdxq9,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T19:01:05.782815Z,C5DyAVCKs5FMG0Qsa,192.168.169.135,39230.0,34.107.243.93,443.0,tcp,,,,,RSTRH,0.0,^r,0.0,0.0,1.0,40.0,1:qNfh5Gqll5+WcHqnXjrdD82o7pE=,,,,,,,,,,,,,,
stats,2023-11-25T19:01:05.781387Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T19:00:50.13056Z,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
dns,2023-11-25T19:00:49.379852Z,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T19:00:48.6277Z,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.50286s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,
dns,2023-11-25T19:00:48.6277Z,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
,2023-11-25T19:00:33.372797Z,,,,,,UDP,,,,,,,,,,,,1:knLD6w251SGQ6noK1c58kAjGmmM=,,,,,,,,,,,,,,
dhcp,2023-11-25T19:00:33.372797Z,,,,,,,,692us,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T19:00:33.372797Z,CG8A0S28IZeC7gr4F2,192.168.169.135,68.0,192.168.169.254,67.0,udp,dhcp,692us,282.0,300.0,SF,0.0,Dd,1.0,310.0,1.0,328.0,1:knLD6w251SGQ6noK1c58kAjGmmM=,,,,,,,,,,,,,,
conn,2023-11-25T19:00:05.451645Z,C8Aoo420FCFR0fdIV7,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
dns,2023-11-25T18:59:56.801833Z,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
dns,2023-11-25T18:59:56.048196Z,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:59:55.298306Z,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.503527s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,
dns,2023-11-25T18:59:55.298306Z,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:59:49.254074Z,CazCCD403qc38LDXxa,192.168.169.1,65086.0,239.255.255.250,1900.0,udp,,3.004038s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:3+4yJTb1vExMLz7LnlNPJzcXlFU=,,,,,,,,,,,,,,
dns,2023-11-25T18:59:25.644594Z,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
dns,2023-11-25T18:59:24.892592Z,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:59:24.139743Z,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.504851s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,
dns,2023-11-25T18:59:24.139743Z,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:59:04.449721Z,Cm6Uur63Jg2KjaBFa,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:58:50.623919Z,Cz4Ix528ZcvOXO2Qui,192.168.169.1,60941.0,239.255.255.250,3702.0,udp,,16.044796s,9184.0,0.0,S0,0.0,D,14.0,9576.0,0.0,0.0,1:w9bU4BZ2FlFVvejDOGFocLtBt5s=,,,,,,,,,,,,,,
conn,2023-11-25T18:58:50.62265Z,CZFokMH3mdxOpj1V,fe80::8615:1c35:aa8:3f74,60942.0,ff02::c,3702.0,udp,,16.222843s,9184.0,0.0,S0,0.0,D,14.0,9856.0,0.0,0.0,1:UcMIjIZs5hM+ODkemreJCRyUehI=,,,,,,,,,,,,,,
dns,2023-11-25T18:58:49.264268Z,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
dns,2023-11-25T18:58:48.512867Z,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:58:47.762931Z,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.501337s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,
dns,2023-11-25T18:58:47.762931Z,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
http,2023-11-25T18:58:39.248713Z,CJahiN2k7tFkUKTGC4,192.168.169.130,49478.0,185.125.190.18,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:58:39.063233Z,CJahiN2k7tFkUKTGC4,192.168.169.130,49478.0,185.125.190.18,80.0,tcp,http,349.411ms,87.0,189.0,SF,0.0,ShADadfF,6.0,347.0,5.0,393.0,1:cdjirYHfwyIb6QrfrgvVj0bBAbI=,,,,,,,,,,,,,,
conn,2023-11-25T18:58:39.051008Z,CfZQxq3tc8oFV3PFk9,192.168.169.130,36674.0,192.168.169.2,53.0,udp,dns,7.156ms,47.0,191.0,SF,0.0,Dd,1.0,75.0,1.0,219.0,1:nv2sYesP9GcrV6JEaARKNt5LnPg=,,,,,,,,,,,,,,
dns,2023-11-25T18:58:39.051008Z,CfZQxq3tc8oFV3PFk9,192.168.169.130,36674.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,21078.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False
conn,2023-11-25T18:58:23.957186Z,CTQ0Dt0p2QZ1cJtW3,fe80::f4a5:6fee:9e5:18f2,133.0,ff02::2,134.0,icmp,,,,,OTH,0.0,,1.0,48.0,0.0,0.0,1:pHn9BY8IyNlt+h+YLASPubRz/sQ=,,,,,,,,,,,,,,
conn,2023-11-25T18:58:16.81779Z,CiVFfUGuOVEm4oM9d,192.168.169.136,138.0,192.168.169.255,138.0,udp,,1.148ms,459.0,0.0,S0,0.0,D,2.0,515.0,0.0,0.0,1:9GwwNqd9UqB1px999Pufw9iKIzY=,,,,,,,,,,,,,,
conn,2023-11-25T18:58:02.44917Z,CHi61Pf0Yrh2EXvae,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,999.253ms,48.0,0.0,OTH,0.0,,2.0,144.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:57:49.256312Z,CQj0SWznWrPwM8IG2,192.168.169.1,55622.0,239.255.255.250,1900.0,udp,,3.00983s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:xL2V8+5JZsE7bsvTsWWgpQ/3CF0=,,,,,,,,,,,,,,
conn,2023-11-25T18:57:23.311198Z,C0yCKbPsBCgj0VCGd,192.168.169.130,5353.0,224.0.0.251,5353.0,udp,dns,,,,S0,0.0,D,1.0,73.0,0.0,0.0,1:Z006pHwOOd7l48qZ60ybrqgkMZM=,,,,,,,,,,,,,,
dns,2023-11-25T18:57:23.311198Z,C0yCKbPsBCgj0VCGd,192.168.169.130,5353.0,224.0.0.251,5353.0,udp,,,,,,,,,,,,,0.0,_ipps._tcp.local,1.0,C_INTERNET,12.0,PTR,,,False,False,False,False,0.0,False
conn,2023-11-25T18:57:23.310119Z,ChWARUcQhEFrZWzDj,fe80::f4a5:6fee:9e5:18f2,5353.0,ff02::fb,5353.0,udp,dns,,,,S0,0.0,D,1.0,93.0,0.0,0.0,1:fqjLCuWPnN69DLaGdlLLE50kIjI=,,,,,,,,,,,,,,
dns,2023-11-25T18:57:23.310119Z,ChWARUcQhEFrZWzDj,fe80::f4a5:6fee:9e5:18f2,5353.0,ff02::fb,5353.0,udp,,,,,,,,,,,,,0.0,_ipps._tcp.local,1.0,C_INTERNET,12.0,PTR,,,False,False,False,False,0.0,False
ntp,2023-11-25T18:57:17.228825Z,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:57:16.99011Z,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,udp,ntp,238.715ms,48.0,48.0,SF,0.0,Dd,1.0,76.0,1.0,76.0,1:VnsWq1A/qRf8/L0d22SaciK40VY=,,,,,,,,,,,,,,
ntp,2023-11-25T18:57:16.99011Z,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T18:57:06.805029Z,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
dns,2023-11-25T18:57:06.054074Z,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:57:05.304056Z,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.500973s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,
dns,2023-11-25T18:57:05.304056Z,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False
conn,2023-11-25T18:57:01.448665Z,CqKqnt3nplYHVtYR9a,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:56:45.341869Z,Cl43Lf2OtGLfAK8QDi,192.168.169.130,58215.0,192.168.169.2,53.0,udp,dns,6.572ms,47.0,215.0,SF,0.0,Dd,1.0,75.0,1.0,243.0,1:a9I8pKZClvk8OYrBYd0ur98Q3Qs=,,,,,,,,,,,,,,
dns,2023-11-25T18:56:45.341869Z,Cl43Lf2OtGLfAK8QDi,192.168.169.130,58215.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,28078.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False
conn,2023-11-25T18:56:05.545377Z,CZTDNg3XTGOz5dCvg8,192.168.169.135,39230.0,34.107.243.93,443.0,tcp,,3.036ms,28.0,24.0,OTH,0.0,^dDa,1.0,68.0,2.0,104.0,1:qNfh5Gqll5+WcHqnXjrdD82o7pE=,,,,,,,,,,,,,,
ssl,2023-11-25T18:56:01.503693Z,CTuLZ04m7ZIGjQVhQ2,192.168.169.135,51838.0,34.117.237.239,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:56:01.472508Z,CTuLZ04m7ZIGjQVhQ2,192.168.169.135,51838.0,34.117.237.239,443.0,tcp,ssl,2m51.130919s,1341.0,2605.0,SF,0.0,ShADadFf,20.0,2161.0,20.0,3409.0,1:Cz/AlYwU03s9Yq5XyjcCMIQpxBo=,,,,,,,,,,,,,,
conn,2023-11-25T18:56:01.459295Z,C9NtXR3YuS6f1lF0Gi,192.168.169.135,45507.0,192.168.169.2,53.0,udp,dns,6.86ms,46.0,62.0,SF,0.0,Dd,1.0,74.0,1.0,90.0,1:aZ0XMEP0MARlDUK3q2HstK6Rur8=,,,,,,,,,,,,,,
dns,2023-11-25T18:56:01.459295Z,C9NtXR3YuS6f1lF0Gi,192.168.169.135,45507.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,3952.0,contile.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False
stats,2023-11-25T18:56:00.45021Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:56:00.45021Z,CFSJoz3AYWBxzqaqF6,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:55:49.24978Z,Cawa9l4klD7xArYowk,192.168.169.1,51317.0,239.255.255.250,1900.0,udp,,3.008881s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:de30SGZ2FjNhzgyID6jTD/uDvXk=,,,,,,,,,,,,,,
conn,2023-11-25T18:54:59.449096Z,C01AMr1F2zlc9sXCc,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:54:32.016703Z,CRwaZB2oXBzSrn9Qsg,fe80::f4a5:6fee:9e5:18f2,1900.0,ff02::c,1900.0,udp,,2.071987s,6573.0,0.0,S0,0.0,D,18.0,7437.0,0.0,0.0,1:qfllzrGKueBMipOw37BKBrg7Iug=,,,,,,,,,,,,,,
conn,2023-11-25T18:54:32.015042Z,CeGeVy2iixFUlsPoE1,::1,1900.0,ff05::c,1900.0,udp,,2.073372s,6195.0,0.0,S0,0.0,D,18.0,7059.0,0.0,0.0,1:W0iDTDFAXzrLIbP9EesaHI5SzLM=,,,,,,,,,,,,,,
conn,2023-11-25T18:54:32.013704Z,CIEqGJ112pGNnuGWtb,192.168.169.130,1900.0,239.255.255.250,1900.0,udp,,2.07418s,6483.0,0.0,S0,0.0,D,18.0,6987.0,0.0,0.0,1:zaLswIA/zoWRB2+w6YaqAHZFiwo=,,,,,,,,,,,,,,
conn,2023-11-25T18:53:58.449101Z,Choask1ht5Z0sAsgpk,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,
conn,2023-11-25T18:53:49.31103Z,CM4fr73sRV1TYE4NP,192.168.169.1,61600.0,239.255.255.250,1900.0,udp,,3.004632s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:5sS0ScdnSnRA+rNB6snIsWEmKA8=,,,,,,,,,,,,,,
http,2023-11-25T18:53:39.421302Z,CBu3oq1V8uFw5cw64f,192.168.169.130,57564.0,34.122.121.32,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:53:39.071828Z,CBu3oq1V8uFw5cw64f,192.168.169.130,57564.0,34.122.121.32,80.0,tcp,http,861.56ms,87.0,148.0,SF,0.0,ShADadfF,5.0,307.0,5.0,352.0,1:MiHISQaFUw4pDPa2j4kC43edKuc=,,,,,,,,,,,,,,
conn,2023-11-25T18:53:39.057203Z,Cj4fAy1iW0HiqYxC8i,192.168.169.130,60297.0,192.168.169.2,53.0,udp,dns,9.08ms,47.0,191.0,SF,0.0,Dd,1.0,75.0,1.0,219.0,1:B4totDKGG3CDCkJwPHwbZwykRJE=,,,,,,,,,,,,,,
