_path,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,trans_id,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,rejected,Anomalous,Anomaly_Description
dhcp,2023-11-25 19:05:19.847947+00:00,,,,,,,,397us,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:05:19.847947+00:00,Cs9TJi2puN1kpCm0j7,192.168.169.136,68.0,192.168.169.254,67.0,udp,dhcp,397us,300.0,300.0,SF,0.0,Dd,1.0,328.0,1.0,328.0,1:Dst/eD4MswUachYQ6vclfiThj+Q=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:05:10.448942+00:00,C0k2us20hxRxjkJwdl,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:04:30.957289+00:00,CjixPu3mxw2CfOBKHd,fe80::f4a5:6fee:9e5:18f2,1900.0,ff02::c,1900.0,udp,,2.076125s,6573.0,0.0,S0,0.0,D,18.0,7437.0,0.0,0.0,1:qfllzrGKueBMipOw37BKBrg7Iug=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:04:30.955657+00:00,CALD33ECgIHsqatJ,::1,1900.0,ff05::c,1900.0,udp,,2.077536s,6195.0,0.0,S0,0.0,D,18.0,7059.0,0.0,0.0,1:W0iDTDFAXzrLIbP9EesaHI5SzLM=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:04:30.954588+00:00,CUrGoe2TUpYP5wIPXh,192.168.169.130,1900.0,239.255.255.250,1900.0,udp,,2.078357s,6483.0,0.0,S0,0.0,D,18.0,6987.0,0.0,0.0,1:zaLswIA/zoWRB2+w6YaqAHZFiwo=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:04:09.451053+00:00,Cjd7SE36PEfkFRT4Wb,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:03:49.270637+00:00,CCxjTv3aU0qJLvw48f,192.168.169.1,58968.0,239.255.255.250,1900.0,udp,,3.005808s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:ay8YNxDnCBnysOS+SS1JtZpjhF8=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
http,2023-11-25 19:03:39.279634+00:00,CFTWPlendYiVEgTif,192.168.169.130,37008.0,185.125.190.48,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:03:39.059129+00:00,CFTWPlendYiVEgTif,192.168.169.130,37008.0,185.125.190.48,80.0,tcp,http,378.709ms,87.0,189.0,SF,0.0,ShADadfF,6.0,347.0,5.0,393.0,1:jwVLO32SAh4zAATR35YZmHdBzNw=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:03:39.042563+00:00,CJiKht1YdMOu719z5i,192.168.169.130,59241.0,192.168.169.2,53.0,udp,dns,11.425ms,47.0,191.0,SF,0.0,Dd,1.0,75.0,1.0,219.0,1:z9MMzVtxNIHKfZuGMIqi+IbLVDo=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 19:03:39.042563+00:00,CJiKht1YdMOu719z5i,192.168.169.130,59241.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,54854.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
conn,2023-11-25 19:03:08.451980+00:00,CihrIv3EML1gnmfK5d,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:02:07.449311+00:00,CGUQtA2eS6BBAW80S3,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:01:49.260362+00:00,CpCbIc3MXwNLAoDLZe,192.168.169.1,57314.0,239.255.255.250,1900.0,udp,,3.004032s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:PpmqHi/dmHnvS5rmGUn3pdjP4jo=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:01:45.273607+00:00,CNLqWq3ZwlBTCM3nyl,192.168.169.130,50644.0,192.168.169.2,53.0,udp,dns,9.516ms,47.0,215.0,SF,0.0,Dd,1.0,75.0,1.0,243.0,1:4rUwcFu5ZoSkVl3t0moEXbbbPHA=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 19:01:45.273607+00:00,CNLqWq3ZwlBTCM3nyl,192.168.169.130,50644.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,7242.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
ssl,2023-11-25 19:01:10.864111+00:00,CXxZ8Sgqt80ZEy2uf,192.168.169.135,40534.0,34.107.243.93,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:01:10.835393+00:00,CXxZ8Sgqt80ZEy2uf,192.168.169.135,40534.0,34.107.243.93,443.0,tcp,ssl,5m717.061ms,1461.0,1177.0,S1,0.0,ShADad,10.0,1881.0,10.0,1581.0,1:3EDxS2q6btc3KYZHQPFC2Q3IZWU=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:01:10.823471+00:00,CBLUGU34sQsuoasMPk,192.168.169.135,38656.0,192.168.169.2,53.0,udp,dns,3.554ms,43.0,97.0,SF,0.0,Dd,1.0,71.0,1.0,125.0,1:NYqmqlW0BbNHFxFuzrv4EdUSaZc=,,,,,,,,,,,,,,,True,Possible Data Exfiltration - Unusually high IP bytes sent or received
dns,2023-11-25 19:01:10.823471+00:00,CBLUGU34sQsuoasMPk,192.168.169.135,38656.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,47148.0,push.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
dns,2023-11-25 19:01:10.804197+00:00,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,23004.0,push.services.mozilla.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
conn,2023-11-25 19:01:10.803963+00:00,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,dns,10.81ms,86.0,260.0,SF,0.0,Dd,2.0,142.0,2.0,316.0,1:r03iFmJ6hLStMEi/4jJkZSIBGTs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 19:01:10.803963+00:00,CXUbZW1JPC3w137os2,192.168.169.135,36803.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,19395.0,push.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
conn,2023-11-25 19:01:06.452139+00:00,CjliixKpWZxMSdxq9,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:01:05.782815+00:00,C5DyAVCKs5FMG0Qsa,192.168.169.135,39230.0,34.107.243.93,443.0,tcp,,,,,RSTRH,0.0,^r,0.0,0.0,1.0,40.0,1:qNfh5Gqll5+WcHqnXjrdD82o7pE=,,,,,,,,,,,,,,,False,No issues till now
stats,2023-11-25 19:01:05.781387+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 19:00:50.130560+00:00,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
dns,2023-11-25 19:00:49.379852+00:00,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 19:00:48.627700+00:00,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.50286s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 19:00:48.627700+00:00,CJ0aiS1Nd9a4MOIrq8,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38312.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
,2023-11-25 19:00:33.372797+00:00,,,,,,UDP,,,,,,,,,,,,1:knLD6w251SGQ6noK1c58kAjGmmM=,,,,,,,,,,,,,,,False,No issues till now
dhcp,2023-11-25 19:00:33.372797+00:00,,,,,,,,692us,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 19:00:33.372797+00:00,CG8A0S28IZeC7gr4F2,192.168.169.135,68.0,192.168.169.254,67.0,udp,dhcp,692us,282.0,300.0,SF,0.0,Dd,1.0,310.0,1.0,328.0,1:knLD6w251SGQ6noK1c58kAjGmmM=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 19:00:05.451645+00:00,C8Aoo420FCFR0fdIV7,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 18:59:56.801833+00:00,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
dns,2023-11-25 18:59:56.048196+00:00,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:59:55.298306+00:00,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.503527s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:59:55.298306+00:00,CdlYzs2lC5RVhHt1ca,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38304.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:59:49.254074+00:00,CazCCD403qc38LDXxa,192.168.169.1,65086.0,239.255.255.250,1900.0,udp,,3.004038s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:3+4yJTb1vExMLz7LnlNPJzcXlFU=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:59:25.644594+00:00,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
dns,2023-11-25 18:59:24.892592+00:00,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:59:24.139743+00:00,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.504851s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:59:24.139743+00:00,Ca63JnUkHi9r0eN2d,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38296.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:59:04.449721+00:00,Cm6Uur63Jg2KjaBFa,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:58:50.623919+00:00,Cz4Ix528ZcvOXO2Qui,192.168.169.1,60941.0,239.255.255.250,3702.0,udp,,16.044796s,9184.0,0.0,S0,0.0,D,14.0,9576.0,0.0,0.0,1:w9bU4BZ2FlFVvejDOGFocLtBt5s=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 18:58:50.622650+00:00,CZFokMH3mdxOpj1V,fe80::8615:1c35:aa8:3f74,60942.0,ff02::c,3702.0,udp,,16.222843s,9184.0,0.0,S0,0.0,D,14.0,9856.0,0.0,0.0,1:UcMIjIZs5hM+ODkemreJCRyUehI=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:58:49.264268+00:00,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
dns,2023-11-25 18:58:48.512867+00:00,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:58:47.762931+00:00,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.501337s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:58:47.762931+00:00,CRdJUx1xSYCZZQ4Tm6,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38288.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
http,2023-11-25 18:58:39.248713+00:00,CJahiN2k7tFkUKTGC4,192.168.169.130,49478.0,185.125.190.18,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:58:39.063233+00:00,CJahiN2k7tFkUKTGC4,192.168.169.130,49478.0,185.125.190.18,80.0,tcp,http,349.411ms,87.0,189.0,SF,0.0,ShADadfF,6.0,347.0,5.0,393.0,1:cdjirYHfwyIb6QrfrgvVj0bBAbI=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 18:58:39.051008+00:00,CfZQxq3tc8oFV3PFk9,192.168.169.130,36674.0,192.168.169.2,53.0,udp,dns,7.156ms,47.0,191.0,SF,0.0,Dd,1.0,75.0,1.0,219.0,1:nv2sYesP9GcrV6JEaARKNt5LnPg=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:58:39.051008+00:00,CfZQxq3tc8oFV3PFk9,192.168.169.130,36674.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,21078.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
conn,2023-11-25 18:58:23.957186+00:00,CTQ0Dt0p2QZ1cJtW3,fe80::f4a5:6fee:9e5:18f2,133.0,ff02::2,134.0,icmp,,,,,OTH,0.0,,1.0,48.0,0.0,0.0,1:pHn9BY8IyNlt+h+YLASPubRz/sQ=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:58:16.817790+00:00,CiVFfUGuOVEm4oM9d,192.168.169.136,138.0,192.168.169.255,138.0,udp,,1.148ms,459.0,0.0,S0,0.0,D,2.0,515.0,0.0,0.0,1:9GwwNqd9UqB1px999Pufw9iKIzY=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 18:58:02.449170+00:00,CHi61Pf0Yrh2EXvae,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,999.253ms,48.0,0.0,OTH,0.0,,2.0,144.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:57:49.256312+00:00,CQj0SWznWrPwM8IG2,192.168.169.1,55622.0,239.255.255.250,1900.0,udp,,3.00983s,700.0,0.0,S0,0.0,D,4.0,812.0,0.0,0.0,1:xL2V8+5JZsE7bsvTsWWgpQ/3CF0=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 18:57:23.311198+00:00,C0yCKbPsBCgj0VCGd,192.168.169.130,5353.0,224.0.0.251,5353.0,udp,dns,,,,S0,0.0,D,1.0,73.0,0.0,0.0,1:Z006pHwOOd7l48qZ60ybrqgkMZM=,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 18:57:23.311198+00:00,C0yCKbPsBCgj0VCGd,192.168.169.130,5353.0,224.0.0.251,5353.0,udp,,,,,,,,,,,,,0.0,_ipps._tcp.local,1.0,C_INTERNET,12.0,PTR,,,False,False,False,False,0.0,False,False,No issues till now
conn,2023-11-25 18:57:23.310119+00:00,ChWARUcQhEFrZWzDj,fe80::f4a5:6fee:9e5:18f2,5353.0,ff02::fb,5353.0,udp,dns,,,,S0,0.0,D,1.0,93.0,0.0,0.0,1:fqjLCuWPnN69DLaGdlLLE50kIjI=,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 18:57:23.310119+00:00,ChWARUcQhEFrZWzDj,fe80::f4a5:6fee:9e5:18f2,5353.0,ff02::fb,5353.0,udp,,,,,,,,,,,,,0.0,_ipps._tcp.local,1.0,C_INTERNET,12.0,PTR,,,False,False,False,False,0.0,False,False,No issues till now
ntp,2023-11-25 18:57:17.228825+00:00,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:57:16.990110+00:00,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,udp,ntp,238.715ms,48.0,48.0,SF,0.0,Dd,1.0,76.0,1.0,76.0,1:VnsWq1A/qRf8/L0d22SaciK40VY=,,,,,,,,,,,,,,,False,No issues till now
ntp,2023-11-25 18:57:16.990110+00:00,C3nmRs1tfu6Lzi1OVa,192.168.169.130,57266.0,185.125.190.56,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 18:57:06.805029+00:00,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
dns,2023-11-25 18:57:06.054074+00:00,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:57:05.304056+00:00,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,dns,1.500973s,150.0,0.0,S0,0.0,D,3.0,234.0,0.0,0.0,1:JuzAHoPbO8pa8tzncfVfbvIQYOs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:57:05.304056+00:00,C7YX2n2Xi6EIQoH1c,192.168.169.1,137.0,192.168.169.255,137.0,udp,,,,,,,,,,,,,38280.0,MIMI,1.0,C_INTERNET,32.0,NB,,,False,False,True,False,1.0,False,False,No issues till now
conn,2023-11-25 18:57:01.448665+00:00,CqKqnt3nplYHVtYR9a,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:56:45.341869+00:00,Cl43Lf2OtGLfAK8QDi,192.168.169.130,58215.0,192.168.169.2,53.0,udp,dns,6.572ms,47.0,215.0,SF,0.0,Dd,1.0,75.0,1.0,243.0,1:a9I8pKZClvk8OYrBYd0ur98Q3Qs=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
dns,2023-11-25 18:56:45.341869+00:00,Cl43Lf2OtGLfAK8QDi,192.168.169.130,58215.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,28078.0,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
conn,2023-11-25 18:56:05.545377+00:00,CZTDNg3XTGOz5dCvg8,192.168.169.135,39230.0,34.107.243.93,443.0,tcp,,3.036ms,28.0,24.0,OTH,0.0,^dDa,1.0,68.0,2.0,104.0,1:qNfh5Gqll5+WcHqnXjrdD82o7pE=,,,,,,,,,,,,,,,True,Possible Data Exfiltration - Unusually high IP bytes sent or received
ssl,2023-11-25 18:56:01.503693+00:00,CTuLZ04m7ZIGjQVhQ2,192.168.169.135,51838.0,34.117.237.239,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:56:01.472508+00:00,CTuLZ04m7ZIGjQVhQ2,192.168.169.135,51838.0,34.117.237.239,443.0,tcp,ssl,2m51.130919s,1341.0,2605.0,SF,0.0,ShADadFf,20.0,2161.0,20.0,3409.0,1:Cz/AlYwU03s9Yq5XyjcCMIQpxBo=,,,,,,,,,,,,,,,True,Possible DDoS attack - Unusually high bytes sent or received
conn,2023-11-25 18:56:01.459295+00:00,C9NtXR3YuS6f1lF0Gi,192.168.169.135,45507.0,192.168.169.2,53.0,udp,dns,6.86ms,46.0,62.0,SF,0.0,Dd,1.0,74.0,1.0,90.0,1:aZ0XMEP0MARlDUK3q2HstK6Rur8=,,,,,,,,,,,,,,,False,No issues till now
dns,2023-11-25 18:56:01.459295+00:00,C9NtXR3YuS6f1lF0Gi,192.168.169.135,45507.0,192.168.169.2,53.0,udp,,,,,,,,,,,,,3952.0,contile.services.mozilla.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0.0,False,False,No issues till now
stats,2023-11-25 18:56:00.450210+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,No issues till now
conn,2023-11-25 18:56:00.450210+00:00,CFSJoz3AYWBxzqaqF6,fe80::8615:1c35:aa8:3f74,135.0,ff02::1:ff6c:ae6a,136.0,icmp,,,,,OTH,0.0,,1.0,72.0,0.0,0.0,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,False,No issues till now
