_path,ts,ts_delta,peer,gaps,acks,percent_lost,mem,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,events_proc,events_queued,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,timers,active_timers,files,active_files,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,reassem_unknown_size,fuid,tx_hosts,rx_hosts,conn_uids,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,proto,service,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,geo.orig.country_code,geo.orig.region,geo.orig.city,geo.orig.latitude,geo.orig.longitude,geo.resp.country_code,geo.resp.region,geo.resp.city,geo.resp.latitude,geo.resp.longitude,community_id,cipher,curve,server_name,resumed,last_alert,next_protocol,established,cert_chain_fuids,client_cert_chain_fuids,subject,issuer,client_subject,client_issuer,validation_status,ja3,ja3s,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,event_type,src_ip,src_port,dest_ip,dest_port,vlan,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth
files,2023-11-25T18:42:35.254656Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FxZahFoxhEZPgube6,|[192.168.169.136]|,|[192.168.169.135]|,"|[""CK68hB4z4ZkDifpVe8""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,0s,,false,297,297,0,0,false,,451bb965010137b332a38e1716629c5f,d0fa376cc404a4529f124402598f8b535439c350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:42:35.252479Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7d3Tv1rgTu4K3dDpg,|[192.168.169.135]|,|[192.168.169.136]|,"|[""CK68hB4z4ZkDifpVe8""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/plain,,0s,,true,683,683,0,0,false,,5afdcb37f3b8713369720b218b10c092,5684cf138835b796359dd05a59bf60a631c3a7c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:42:35.252479Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CK68hB4z4ZkDifpVe8,192.168.169.135,43771,192.168.169.136,80,1,GET,192.168.169.136,/dnslookup.cgi,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,683,297,404,Not Found,,,|[]|,(empty),,,"[""F7d3Tv1rgTu4K3dDpg""]",,"[""text/plain""]","[""FxZahFoxhEZPgube6""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:35.248229Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.898ms,,,,,,,,,,,,,,,CK68hB4z4ZkDifpVe8,192.168.169.135,43771,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,928,463,SF,,0,ShADadFf,6,1248,4,679,,,,,,,,,,,,1:fpGVDHAw8uxNdpG4uM4gqzLSLrE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:42:35.222188Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FZhptL3JLtA8ThVoJg,|[192.168.169.136]|,|[192.168.169.135]|,"|[""CXTUNMt8cP23dh0y""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,0s,,false,891,891,0,0,false,,cfe398bfbf64d86085ba7db4d09d7705,fa0d49705f819d948d370259428d2085a399128e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:42:35.188436Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CXTUNMt8cP23dh0y,192.168.169.135,38301,192.168.169.136,80,1,GET,192.168.169.136,/,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,0,891,200,OK,,,|[]|,,,,,,,"[""FZhptL3JLtA8ThVoJg""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:35.185848Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.975ms,,,,,,,,,,,,,,,CXTUNMt8cP23dh0y,192.168.169.135,38301,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,184,1067,SF,,0,ShADadFf,6,504,4,1283,,,,,,,,,,,,1:y+V9Zh0mWQiQlVRepEyyjo08tDg=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssl,2023-11-25T18:42:26.325804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN7wy14gqmn7RQ1EDa,192.168.169.135,56280,34.149.100.209,443,,,,,,TLSv12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,firefox.settings.services.mozilla.com,true,,h2,true,,,,,,,,fbcc1d86f1211d29dca4858f89e44997,5b94af9bf6efc9dea416841602004fbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:26.312438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.071284s,,,,,,,,,,,,,,,CN7wy14gqmn7RQ1EDa,192.168.169.135,56280,34.149.100.209,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,ssl,1178,776,S1,,0,ShADad,12,1678,13,1300,,,,,,,US,,,37.751,-97.822,1:6EC2Pei0Mus/Ifid7HF6YNWYegw=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:42:26.296248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37ms,,,,,,,,,,,,,,,Ca7HyX12d9iv1kjwU4,192.168.169.135,38596,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,dns,55,133,SF,,0,Dd,1,83,1,161,,,,,,,,,,,,1:Xot3r5Ni+Gk9frm0CwramBqrorU=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T18:42:26.296248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ca7HyX12d9iv1kjwU4,192.168.169.135,38596,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31609,11.37ms,firefox.settings.services.mozilla.com,1,C_INTERNET,1,A,0,NOERROR,false,false,true,true,0,"[""prod.remote-settings.prod.webservices.mozgcp.net"",""34.149.100.209""]","[5s,5s]",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-11-25T18:41:56.839405Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCP,,,,,,,,,,,,,,,,,,,,,,,1:i6YBEX4QiKxBzmvJE/EOQ+9rCcI=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alert,192.168.169.135,40375,192.168.169.136,80,,http,1,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted,Potential Corporate Privacy Violation,allowed,2006380,1,15,,"[""POLICY""]",,,,"[""2010_07_30""]",,"[""2022_06_14""]",,,1693953354408347,107,0,,,,,,,,
files,2023-11-25T18:41:56.83812Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FgXVgjOJnhzaymQx9,|[192.168.169.136]|,|[192.168.169.135]|,"|[""CMZ7nK1hjxlVlh1AIb""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,0s,,false,297,297,0,0,false,,451bb965010137b332a38e1716629c5f,d0fa376cc404a4529f124402598f8b535439c350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:41:56.834202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FI5bMj4GZhSv8Zttqj,|[192.168.169.135]|,|[192.168.169.136]|,"|[""CMZ7nK1hjxlVlh1AIb""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/plain,,0s,,true,683,683,0,0,false,,5afdcb37f3b8713369720b218b10c092,5684cf138835b796359dd05a59bf60a631c3a7c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:41:56.834202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMZ7nK1hjxlVlh1AIb,192.168.169.135,40375,192.168.169.136,80,1,GET,192.168.169.136,/dnslookup.cgi,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,683,297,404,Not Found,,,|[]|,(empty),,,"[""FI5bMj4GZhSv8Zttqj""]",,"[""text/plain""]","[""FgXVgjOJnhzaymQx9""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:56.827803Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.865ms,,,,,,,,,,,,,,,CMZ7nK1hjxlVlh1AIb,192.168.169.135,40375,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,928,463,SF,,0,ShADadFf,6,1248,4,679,,,,,,,,,,,,1:i6YBEX4QiKxBzmvJE/EOQ+9rCcI=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files,2023-11-25T18:41:56.788129Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fi7OAw3P35jDQEkqBg,|[192.168.169.136]|,|[192.168.169.135]|,"|[""CP8d4RntnyRTkfM4""]|",HTTP,0,"|[""MD5"",""SHA1""]|",text/html,,3.008ms,,false,891,,0,0,false,,cfe398bfbf64d86085ba7db4d09d7705,fa0d49705f819d948d370259428d2085a399128e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http,2023-11-25T18:41:56.679539Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP8d4RntnyRTkfM4,192.168.169.135,39191,192.168.169.136,80,1,GET,192.168.169.136,/,,1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",,0,891,200,OK,,,|[]|,,,,,,,"[""Fi7OAw3P35jDQEkqBg""]",,"[""text/html""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:56.674636Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.824ms,,,,,,,,,,,,,,,CP8d4RntnyRTkfM4,192.168.169.135,39191,192.168.169.136,80,,,,,,,,,,,,,,,,,,,,,,,,,tcp,http,184,1099,SF,,0,ShADadFf,9,660,8,1523,,,,,,,,,,,,1:2leu5BIo7J0cvT5jB4QUs+u2ykU=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:49.25261Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.011169s,,,,,,,,,,,,,,,C0xizF28P6qEx2P3w7,192.168.169.1,50275,239.255.255.250,1900,,,,,,,,,,,,,,,,,,,,,,,,,udp,,700,0,S0,,0,D,4,812,0,0,,,,,,,,,,,,1:dSYfXnLHrjiC5MlCWeY3KW2tKY0=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:46.450613Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPvWko46FQoi0OkHn6,fe80::8615:1c35:aa8:3f74,135,ff02::1:ff6c:ae6a,136,,,,,,,,,,,,,,,,,,,,,,,,,icmp,,,,OTH,,0,,1,72,0,0,,,,,,,,,,,,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:45.3202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.502ms,,,,,,,,,,,,,,,Cxo2qVNeTjqcLsAdg,192.168.169.130,40682,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,dns,47,215,SF,,0,Dd,1,75,1,243,,,,,,,,,,,,1:EcDDSyzm3KtuZP+o2HVpI3794ck=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T18:41:45.3202Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cxo2qVNeTjqcLsAdg,192.168.169.130,40682,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38367,7.502ms,connectivity-check.ubuntu.com,1,C_INTERNET,28,AAAA,0,NOERROR,false,false,true,true,0,"[""2001:67c:1562::23"",""2620:2d:4000:1::22"",""2620:2d:4000:1::2a"",""2620:2d:4000:1::23"",""2001:67c:1562::24"",""2620:2d:4000:1::2b""]","[5s,5s,5s,5s,5s,5s]",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:25.482011Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1m51.864888s,,,,,,,,,,,,,,,CuQKoa4GKlw4Ea37Dh,192.168.169.135,56986,34.160.144.191,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,141,78,SF,,0,DadAFf,8,461,8,398,,,,,,,US,,,37.751,-97.822,1:toOfSzTjytmO8GyYQrSK57B76xo=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:25.481622Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1m51.866513s,,,,,,,,,,,,,,,Cv4g0e49xhk4DkDdRb,192.168.169.135,45002,34.98.75.36,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,141,78,SF,,0,DadAFf,8,461,8,398,,,,,,,US,MO,Kansas City,39.1028,-94.5778,1:vqFiMJh+1I7UZtg/XcTi2MlrvZ4=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:22.403469Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.001ms,,,,,,,,,,,,,,,C0wEPC4xqEc6rQ8oUi,192.168.169.135,39712,34.117.121.53,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,77,0,SF,,0,DaFfA,4,237,4,160,,,,,,,US,MO,Kansas City,39.1028,-94.5778,1:GN+DyEVQoUrcUarCAA7gO1qtOFQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:04.424529Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95ms,,,,,,,,,,,,,,,CAvJMRlngPN5yfeh7,192.168.169.135,39230,34.107.243.93,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,28,24,OTH,,0,^dADa,2,108,2,104,,,,,,,US,MO,Kansas City,39.1028,-94.5778,1:qNfh5Gqll5+WcHqnXjrdD82o7pE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
